epoch;acc;loss;val_acc;val_loss
0;0.6460611527342608;1.2550497050268221;0.9478449406056221;0.1544368230750498
1;0.9707973364907;0.0958877090320895;0.9821474124387465;0.061773145527453076
2;0.9881085223988115;0.04005346974206417;0.9904361138064713;0.03874599108739635
3;0.9926036922188376;0.024228941941760247;0.9844427451251934;0.05982581664554986
4;0.9964612492943576;0.013709584998640225;0.9922213725625967;0.031209140764145035
5;0.9968438169334602;0.011877027988835344;0.9854628929782357;0.0499121597837833
6;0.9964293686573699;0.010597116888651222;0.9912012247019536;0.039392043008689065
7;0.9988204164314526;0.004735459701195656;0.9904361137988706;0.03892729465254162
8;0.9988522970684404;0.0047794965105298;0.9904361138064713;0.0391299288513861
9;0.9993623872602446;0.0021421459429165953;0.9917112986246744;0.035745983172628705
0;0.756782602672122;0.8562344095471843;0.9695230756326465;0.10052374142921801
1;0.973379662290995;0.09120952409631827;0.9649324097277041;0.13743226479515422
2;0.9900851192269748;0.03357131182570772;0.9656975204711725;0.11900567201545752
3;0.9945165289179164;0.01900904098685174;0.9830400372183892;0.06356772048709665
4;0.9956323515070246;0.01684287883946158;0.9891609260544002;0.04151772941019276
5;0.9966525321946706;0.01145624987654553;0.9894159632475819;0.04172353595325436
6;0.998405967675553;0.005844532836213297;0.9799795930284044;0.08826297317136735
7;0.9990754612518208;0.003448608855320921;0.9937515924913912;0.03112681496715218
8;0.9999362387070221;0.0006065063393397648;0.993879111011975;0.02903031959734147
9;0.9999043580605331;0.00037776829917016396;0.9942616665737266;0.029150005818062028
0;0.7055185465399553;1.0171569632167703;0.662458573850677;1.6596759896577202
1;0.9713074267091075;0.09464389778818545;0.10660546214847777;7.107415654591777
2;0.9842509652869494;0.05281333856786057;0.7271104464571077;2.2615349867719
3;0.9931456630476296;0.023691233015227627;0.9918388171148556;0.030010407294669323
4;0.9962062041984555;0.01230002882903237;0.9912012247019536;0.027919103569834215
5;0.9973539071300151;0.008519221185973527;0.9917112986322751;0.030646311077231786
6;0.9992029840753057;0.0029102853428562003;0.9914562616671144;0.029920135210833924
7;0.9989479389794036;0.0032827128102622272;0.9937515943535613;0.025396286020224337
8;0.9997768355410857;0.001208213968105729;0.9952818161445258;0.02150287522884508
9;1.0;0.00018313653943927193;0.9950267791793651;0.021175918108519143
0;0.7581534702621208;0.8429039579442915;0.9616169274324545;0.1315644616484395
1;0.9723276003677874;0.08934268303705097;0.9804896665026843;0.06286068901934498
2;0.9898938351390154;0.03662411321423099;0.98597296288779;0.04987454962818264
3;0.9945484094503912;0.017421924641500653;0.9901810739150433;0.03441083102015814
4;0.9970988611695064;0.010397379714686659;0.9901810739150433;0.034341005825859014
5;0.9979596386247078;0.006931014900324115;0.9844427407927977;0.054215638886835
6;0.9985016096150198;0.00566979292255312;0.9909461850385464;0.031320972742288684
7;0.999968119353511;0.0006183087359915539;0.9927314443267203;0.027743092870483908
8;1.0;0.00021101618220505436;0.9932415184090557;0.028041458497464228
9;1.0;0.00010513209959484525;0.9932415184090557;0.02836843939430252
0;0.7096949096083941;0.9863495580975775;0.9220862070293763;0.2591155416816857
1;0.9521471638196009;0.15379501867985243;0.9537107907663162;0.14985151041228292
2;0.9741766840351564;0.08192531876697079;0.9603417518984995;0.12986931729630036
3;0.982656933473903;0.051962812552833436;0.9783218579613351;0.07509355936359816
4;0.988395448136452;0.038092122391735046;0.9737311925884413;0.09593865348480882
5;0.9896706736159628;0.03348900500532041;0.9752614143794059;0.08879160532516328
6;0.9915197505612534;0.028888952502464735;0.9765365992052097;0.09375624028722845
7;0.9948672174449692;0.016254485704668514;0.9830400418168092;0.07284256424371326
8;0.9956004720956878;0.01435958980037318;0.9822749309213269;0.083052775876898
9;0.9942933659791893;0.0181221572835691;0.9822749309213269;0.06799951107113796
0;0.7413842545818522;0.8662585011228996;0.9335628593645969;0.19996391026109236
1;0.9423916785023121;0.1804734519356862;0.9475898940445847;0.16142088961030496
2;0.9705741652479496;0.09189647592952957;0.9484825239166925;0.16909375871061616
3;0.9797239097451466;0.061579956326893184;0.9660800760329241;0.11222109089775897
4;0.9868970545780809;0.040864151497955775;0.9730935936769458;0.09342740508086067
5;0.9902126417369213;0.030706488555521803;0.9762815560074797;0.09064794013604821
